,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
226,female,group C,some college,standard,none,7.2,72,71
227,male,group D,high school,standard,none,5.7,50,54
228,male,group A,some high school,free/reduced,none,6.8,72,64
229,female,group C,some college,standard,completed,8.8,95,94
230,male,group D,some college,standard,none,7.6,64,66
231,male,group C,associate's degree,standard,none,4.6,43,42
232,female,group B,bachelor's degree,standard,none,6.7,86,83
233,male,group E,some high school,standard,none,9.2,87,78
234,male,group C,bachelor's degree,standard,completed,8.3,82,84
235,male,group D,associate's degree,standard,none,8.0,75,77
236,male,group D,bachelor's degree,free/reduced,none,6.3,66,67
237,female,group D,some high school,standard,completed,6.4,60,74
238,male,group B,some college,standard,none,5.4,52,51
239,male,group C,associate's degree,standard,none,8.4,80,80
240,male,group D,high school,free/reduced,completed,7.3,68,66
241,female,group E,bachelor's degree,standard,none,8.0,83,83
242,female,group D,high school,standard,none,5.6,52,55
243,male,group E,some college,standard,none,5.9,51,43
244,male,group D,some high school,standard,none,7.5,74,69
245,male,group C,associate's degree,standard,none,8.5,76,71
246,male,group E,associate's degree,standard,none,8.9,76,74
247,female,group B,high school,standard,completed,5.8,70,68
248,female,group B,high school,standard,none,6.5,64,62
249,male,group C,high school,standard,none,6.8,60,53
250,male,group A,some high school,standard,completed,4.7,49,49
251,female,group D,some college,free/reduced,none,7.1,83,83
252,female,group B,some high school,standard,completed,6.0,70,70
253,male,group D,master's degree,standard,none,8.0,80,72
254,male,group D,high school,standard,none,5.4,52,52
255,female,group E,some college,standard,none,6.2,73,70
256,female,group C,associate's degree,free/reduced,none,6.4,73,68
257,male,group C,associate's degree,standard,completed,7.8,77,77
258,female,group B,some college,standard,none,7.0,75,78
259,female,group C,master's degree,free/reduced,completed,6.5,81,81
260,female,group C,some high school,free/reduced,completed,6.4,79,77
261,male,group C,some college,standard,completed,7.9,79,78
262,female,group C,some high school,free/reduced,none,4.4,50,51
263,female,group E,high school,standard,none,9.9,93,90
264,male,group D,high school,standard,none,7.6,73,68
265,male,group D,some high school,free/reduced,none,5.9,42,41
266,female,group C,bachelor's degree,standard,none,6.3,75,81
267,female,group D,high school,standard,none,6.9,72,77
268,female,group D,associate's degree,standard,completed,8.8,92,95
269,female,group E,some college,free/reduced,none,7.1,76,70
270,male,group C,bachelor's degree,standard,none,6.9,63,61
271,male,group C,some college,standard,none,5.8,49,42
272,female,group D,associate's degree,free/reduced,none,4.7,53,58
273,female,group D,some college,standard,none,6.5,70,71
274,male,group B,some college,standard,completed,8.8,85,76
275,male,group C,bachelor's degree,standard,none,8.3,78,73
276,female,group C,some high school,standard,completed,8.5,92,93
277,female,group E,high school,standard,completed,5.9,63,75
278,female,group C,some high school,free/reduced,none,6.5,86,80
279,male,group B,bachelor's degree,free/reduced,none,7.3,56,57
280,male,group D,high school,standard,none,5.3,52,42
281,male,group D,high school,standard,none,4.5,48,46
282,female,group D,bachelor's degree,free/reduced,none,7.3,79,84
283,female,group D,some college,free/reduced,completed,7.0,78,78
284,female,group B,some high school,standard,none,3.7,46,46
285,male,group B,associate's degree,standard,completed,8.1,82,82
286,male,group E,associate's degree,standard,completed,9.7,82,88
287,female,group B,some high school,standard,none,6.7,89,82
288,male,group B,bachelor's degree,free/reduced,none,8.8,75,76
289,male,group E,some high school,standard,completed,7.7,76,77
290,male,group C,associate's degree,standard,none,7.6,70,68
291,male,group D,some high school,standard,none,8.6,73,70
292,male,group C,some high school,standard,completed,6.3,60,57
293,female,group E,bachelor's degree,standard,none,6.5,73,75
294,male,group D,high school,free/reduced,completed,7.8,77,80
295,male,group B,associate's degree,free/reduced,none,6.7,62,60
296,male,group A,some high school,standard,completed,4.6,41,43
297,male,group E,associate's degree,standard,completed,7.1,74,68
298,male,group C,high school,free/reduced,completed,4.0,46,50
299,male,group D,associate's degree,free/reduced,none,9.0,87,75
300,male,group A,some college,free/reduced,completed,8.1,78,81
301,male,group D,some high school,free/reduced,none,5.6,54,52
302,female,group C,associate's degree,standard,completed,6.7,84,81
303,male,group B,associate's degree,standard,none,8.0,76,64
304,female,group C,associate's degree,standard,completed,7.4,75,83
305,male,group A,some college,standard,none,6.9,67,69
306,male,group E,some college,standard,completed,9.9,87,81
307,male,group C,some high school,standard,none,5.1,52,44
308,female,group B,associate's degree,free/reduced,none,5.3,71,67
309,female,group D,high school,free/reduced,none,4.9,57,52
310,female,group B,associate's degree,standard,none,7.3,76,80
311,male,group B,bachelor's degree,standard,none,6.6,60,57
312,male,group D,bachelor's degree,standard,completed,6.7,61,68
313,female,group C,associate's degree,free/reduced,completed,6.8,67,69
314,female,group C,bachelor's degree,standard,completed,5.9,64,75
315,male,group C,high school,standard,none,7.1,66,65
316,female,group D,master's degree,standard,completed,7.7,82,91
317,male,group C,associate's degree,standard,none,8.3,72,78
318,male,group B,bachelor's degree,standard,none,6.3,71,69
319,female,group D,associate's degree,free/reduced,none,5.6,65,63
320,female,group C,high school,free/reduced,completed,6.7,79,84
321,female,group E,high school,standard,none,7.5,86,79
322,female,group C,some college,standard,none,7.1,81,80
323,female,group C,some high school,free/reduced,none,4.3,53,53
324,female,group C,high school,free/reduced,none,4.1,46,43
325,female,group C,some college,standard,none,8.2,90,94
326,male,group C,some college,standard,none,6.1,61,62
327,male,group A,some college,free/reduced,none,2.8,23,19
328,male,group C,associate's degree,standard,completed,8.2,75,77
329,female,group B,some high school,standard,none,4.1,55,51
330,male,group C,high school,standard,none,7.1,60,61
331,male,group C,associate's degree,standard,none,4.7,37,35
332,male,group E,associate's degree,standard,completed,6.2,56,53
333,male,group B,associate's degree,standard,none,9.0,78,81
334,female,group C,bachelor's degree,standard,none,8.3,93,95
335,female,group B,some college,free/reduced,none,6.1,68,66
336,male,group D,some high school,standard,completed,7.6,70,69
337,male,group C,associate's degree,standard,none,4.9,51,43
338,female,group B,some high school,free/reduced,none,2.4,38,27
339,female,group D,some high school,free/reduced,completed,3.5,55,60
340,male,group C,high school,free/reduced,none,5.8,61,52
341,female,group C,high school,standard,none,6.1,73,63
342,female,group B,high school,standard,completed,6.9,76,74
343,male,group D,associate's degree,standard,completed,6.7,72,67
344,male,group D,some college,standard,none,7.9,73,67
345,female,group C,high school,standard,none,7.2,80,75
346,male,group B,some college,standard,none,6.2,61,57
347,female,group C,bachelor's degree,standard,completed,7.7,94,95
348,male,group D,high school,free/reduced,none,7.5,74,66
349,male,group E,associate's degree,standard,none,8.7,74,76
350,female,group B,bachelor's degree,standard,none,5.2,65,69
351,male,group E,some college,standard,none,6.6,57,52
352,female,group C,some college,standard,completed,6.3,78,80
353,female,group C,associate's degree,standard,none,4.6,58,57
354,female,group C,some college,standard,none,5.9,71,70
355,female,group B,bachelor's degree,standard,none,6.1,72,70
356,male,group A,associate's degree,standard,none,6.3,61,61
357,female,group C,some college,free/reduced,completed,4.2,66,69
358,male,group D,some college,free/reduced,none,5.9,62,61
359,female,group D,some college,standard,none,8.0,90,89
360,female,group B,high school,standard,none,5.8,62,59
361,male,group B,some high school,standard,completed,8.5,84,78
362,female,group C,some college,standard,none,5.2,58,58
363,female,group D,some high school,free/reduced,none,2.7,34,32
364,male,group C,some college,standard,none,5.9,60,58
365,male,group A,bachelor's degree,free/reduced,completed,4.9,58,60
366,male,group C,high school,standard,completed,6.9,58,53
367,male,group C,bachelor's degree,free/reduced,none,6.1,66,61
368,female,group A,some high school,free/reduced,none,4.4,64,58
369,female,group D,some high school,standard,none,7.3,84,85
370,male,group E,some college,standard,none,8.4,77,71
371,female,group C,some college,free/reduced,completed,4.5,73,70
372,male,group D,some high school,standard,none,7.4,74,72
373,female,group D,some college,standard,completed,8.2,97,96
374,female,group D,bachelor's degree,standard,none,5.9,70,73
375,male,group E,associate's degree,free/reduced,none,4.6,43,41
376,female,group D,some high school,standard,none,8.0,90,82
377,female,group D,master's degree,free/reduced,completed,8.5,95,100
378,female,group A,some high school,standard,none,7.1,83,77
379,male,group A,bachelor's degree,standard,none,6.6,64,62
380,female,group B,associate's degree,standard,none,8.0,86,83
381,male,group C,associate's degree,standard,completed,8.7,100,95
382,male,group C,master's degree,free/reduced,none,7.9,81,71
383,female,group E,some high school,free/reduced,none,3.8,49,45
384,female,group A,some high school,free/reduced,none,3.8,43,43
385,female,group E,some college,standard,none,6.7,76,75
386,female,group E,bachelor's degree,standard,none,6.4,73,70
387,female,group C,associate's degree,free/reduced,none,5.7,78,67
388,female,group D,high school,standard,none,6.2,64,64
389,male,group D,master's degree,standard,none,7.3,70,75
390,male,group E,some high school,free/reduced,completed,7.3,67,59
391,female,group D,some college,standard,none,7.7,68,77
392,male,group E,some college,standard,none,7.6,67,67
393,male,group C,associate's degree,standard,completed,5.7,54,56
394,female,group C,some high school,standard,completed,6.5,74,77
395,male,group A,high school,free/reduced,none,4.8,45,41
396,female,group B,high school,free/reduced,none,5.0,67,63
397,female,group C,associate's degree,standard,none,8.5,89,95
398,male,group B,some high school,standard,none,7.4,63,57
399,male,group D,some high school,standard,none,6.0,59,54
400,female,group C,some high school,standard,completed,5.9,54,67
401,male,group A,some college,standard,none,5.3,43,43
402,female,group A,some college,free/reduced,none,4.9,65,55
403,female,group D,high school,standard,completed,8.8,99,100
404,female,group C,high school,standard,none,5.4,59,62
405,female,group C,some high school,standard,none,6.3,73,68
406,male,group B,associate's degree,standard,completed,6.5,65,63
407,female,group B,associate's degree,standard,none,8.2,80,77
408,female,group D,high school,free/reduced,completed,5.2,57,56
409,male,group D,associate's degree,standard,completed,8.7,84,85
410,female,group D,master's degree,standard,completed,7.0,71,74
411,male,group E,some college,standard,completed,8.4,83,78
412,male,group D,associate's degree,standard,none,7.1,66,60
413,male,group B,some high school,standard,completed,6.3,67,67
414,female,group C,bachelor's degree,free/reduced,completed,5.1,72,79
415,male,group E,high school,standard,none,8.4,73,69
416,male,group C,bachelor's degree,standard,completed,7.1,74,68
417,male,group C,associate's degree,standard,none,7.4,73,67
418,male,group D,some college,standard,none,6.8,59,62
419,male,group E,high school,free/reduced,completed,5.7,56,54
420,female,group C,associate's degree,free/reduced,completed,8.2,93,93
421,female,group D,high school,standard,completed,5.7,58,64
422,female,group D,master's degree,free/reduced,completed,4.7,58,67
423,female,group A,some high school,standard,completed,5.9,85,80
424,male,group B,some college,free/reduced,none,4.1,39,34
425,female,group C,some college,free/reduced,none,6.2,67,62
426,male,group C,bachelor's degree,standard,none,8.6,83,86
427,male,group C,some high school,free/reduced,none,6.9,71,65
428,male,group A,some high school,free/reduced,none,6.5,59,53
429,male,group C,some high school,free/reduced,none,6.8,63,54
430,male,group C,associate's degree,free/reduced,none,6.4,66,59
431,female,group C,high school,standard,none,6.1,72,70
432,male,group C,high school,standard,none,6.1,56,55
433,female,group A,some high school,free/reduced,none,4.7,59,50
434,male,group C,some high school,standard,none,7.3,66,66
435,male,group C,some college,free/reduced,completed,5.0,48,53
436,male,group D,associate's degree,standard,none,7.5,68,64
437,male,group D,associate's degree,free/reduced,none,7.5,66,73
438,male,group C,high school,standard,none,7.0,56,51
439,male,group D,some high school,standard,completed,8.9,88,82
440,female,group C,some college,standard,completed,6.7,81,79
441,female,group D,high school,standard,none,7.8,81,80
442,female,group A,some high school,free/reduced,none,5.9,73,69
443,female,group B,associate's degree,standard,none,7.3,83,76
444,male,group A,some high school,free/reduced,none,7.9,82,73
445,female,group C,some high school,standard,completed,6.7,74,77
446,male,group D,some college,free/reduced,none,6.9,66,60
447,male,group C,high school,standard,completed,8.6,81,80
448,male,group B,high school,standard,none,4.7,46,42
449,male,group B,associate's degree,standard,none,8.1,73,72
450,female,group C,some college,free/reduced,completed,6.4,85,85
451,female,group E,some college,standard,none,10.0,92,97
452,female,group C,associate's degree,free/reduced,none,6.5,77,74
453,male,group C,some college,free/reduced,none,6.5,58,49
454,female,group C,associate's degree,free/reduced,none,5.3,61,62
455,male,group C,bachelor's degree,free/reduced,none,3.7,56,47
456,female,group D,bachelor's degree,standard,none,7.9,89,89
457,male,group D,associate's degree,free/reduced,none,5.3,54,48
458,female,group E,bachelor's degree,standard,none,10.0,100,100
459,male,group B,high school,standard,completed,7.2,65,68
460,male,group C,bachelor's degree,free/reduced,none,5.3,58,55
461,male,group B,some college,free/reduced,none,5.4,54,45
462,female,group E,some college,standard,none,7.1,70,76
463,female,group C,some college,free/reduced,none,7.7,90,91
464,male,group A,bachelor's degree,standard,completed,7.5,58,62
465,female,group C,some college,standard,none,8.4,87,91
466,female,group D,associate's degree,free/reduced,none,2.6,31,38
467,male,group A,high school,free/reduced,completed,7.2,67,65
468,female,group A,high school,free/reduced,completed,7.7,88,85
469,male,group C,some college,standard,none,9.1,74,76
470,female,group C,associate's degree,standard,completed,8.3,85,90
471,female,group C,high school,standard,none,6.3,69,74
472,female,group C,associate's degree,standard,completed,6.8,86,84
473,female,group D,some high school,standard,none,5.9,67,61
474,female,group B,associate's degree,standard,completed,9.0,90,91
475,female,group D,bachelor's degree,standard,completed,7.1,76,83
476,male,group E,bachelor's degree,standard,completed,7.6,62,66
477,male,group D,associate's degree,standard,none,8.0,68,72
478,female,group D,master's degree,standard,none,5.5,64,70
479,male,group E,associate's degree,standard,none,7.6,71,67
480,male,group B,high school,standard,completed,7.3,71,68
481,female,group D,associate's degree,free/reduced,none,5.2,59,56
482,male,group C,some college,free/reduced,none,6.8,68,61
483,male,group A,high school,standard,none,5.9,52,46
484,female,group B,associate's degree,standard,none,4.9,52,54
485,male,group C,high school,standard,none,7.0,74,71
486,male,group D,some college,free/reduced,none,6.1,47,56
487,female,group C,associate's degree,free/reduced,none,6.0,75,74
488,male,group B,some high school,standard,completed,6.4,53,57
489,male,group A,associate's degree,free/reduced,completed,7.9,82,82
490,female,group A,associate's degree,free/reduced,none,6.5,85,76
491,female,group C,associate's degree,standard,none,6.4,64,70
492,female,group C,some college,standard,none,8.3,83,90
493,female,group C,bachelor's degree,standard,none,8.1,88,90
494,female,group B,high school,standard,none,5.4,64,68
495,male,group D,high school,standard,completed,6.8,64,66
496,female,group C,some college,standard,none,5.4,48,52
497,female,group D,some college,free/reduced,completed,5.9,78,76
498,female,group B,some high school,standard,none,6.6,69,68
499,male,group E,some college,standard,none,7.6,71,72
500,female,group D,master's degree,standard,none,7.4,79,82
501,female,group B,associate's degree,standard,completed,9.4,87,92
502,male,group C,some college,free/reduced,none,6.3,61,54
503,female,group E,associate's degree,standard,completed,9.5,89,92
504,female,group D,master's degree,free/reduced,none,4.0,59,54
505,female,group B,some high school,standard,none,8.2,82,80
506,male,group A,high school,standard,none,6.8,70,66
507,male,group B,bachelor's degree,free/reduced,none,5.5,59,54
508,male,group C,master's degree,standard,none,7.9,78,77
509,female,group C,bachelor's degree,standard,none,8.6,92,87
510,male,group D,some college,standard,none,7.6,71,73
511,male,group A,some high school,standard,none,6.4,50,43
512,male,group D,some high school,free/reduced,none,6.2,49,52
513,female,group B,some high school,standard,completed,5.4,61,62
514,female,group B,master's degree,free/reduced,completed,7.7,97,94
515,female,group C,some high school,standard,completed,7.6,87,85
516,female,group D,some college,standard,none,7.4,89,84
517,female,group E,some college,standard,completed,6.6,74,73
518,female,group D,some high school,standard,completed,6.6,78,78
519,female,group B,high school,free/reduced,completed,6.7,78,79
520,male,group D,some college,standard,none,7.1,49,52
521,female,group C,associate's degree,standard,none,9.1,86,84
522,male,group D,bachelor's degree,standard,none,6.9,58,57
523,male,group C,master's degree,free/reduced,none,5.4,59,50
524,male,group C,high school,standard,completed,5.3,52,49
525,male,group E,some college,standard,none,6.8,60,59
526,male,group C,some high school,free/reduced,completed,5.6,61,60
527,female,group C,high school,free/reduced,none,3.6,53,43
528,female,group D,bachelor's degree,free/reduced,none,2.9,41,47
529,female,group C,associate's degree,standard,none,6.2,74,70
530,female,group C,associate's degree,standard,completed,6.8,67,73
531,female,group C,some high school,standard,none,4.7,54,53
532,male,group E,associate's degree,standard,completed,6.2,61,58
533,female,group E,associate's degree,standard,completed,7.9,88,94
534,male,group B,high school,standard,completed,7.3,69,68
535,female,group C,bachelor's degree,free/reduced,completed,6.6,83,83
